Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal_Price,Price_Date
125,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,11-Apr-20
126,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,10-May-16
127,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,10-May-14
128,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,09-May-17
129,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,09-May-15
130,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,08-May-18
131,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,07-May-18
132,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,07-May-17
133,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,07-May-16
134,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,07-May-13
135,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,06-May-19
136,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,06-May-18
137,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,06-May-17
138,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,06-May-16
139,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,06-May-13
140,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,05-May-20
141,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,05-May-18
142,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,05-May-17
143,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,04-May-20
144,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,04-May-16
145,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,04-May-14
146,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,04-May-13
147,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,03-May-20
148,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,03-May-17
149,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,03-May-16
150,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,03-May-14
151,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,02-May-17
152,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,02-May-16
153,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,02-May-15
154,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,02-May-14
155,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,02-May-13
156,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,900,1100,1050,02-Aug-14
157,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,01-May-18
158,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,01-May-15
159,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1170,1170,1170,01-May-14
160,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,01-May-13
161,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,29-Apr-20
162,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,28-Apr-20
163,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,26-Apr-20
164,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,24-Apr-20
165,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,23-Apr-20
166,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,21-Apr-20
167,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,20-Apr-20
168,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,19-Apr-20
169,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,18-Apr-20
170,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,17-Apr-20
171,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,343,FAQ,1625,1625,1625,15-Apr-20
172,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1450,1450,1450,30-Apr-18
173,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,29-Apr-17
174,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1450,1450,1450,28-Apr-18
175,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,28-Apr-17
176,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1450,1450,1450,27-Apr-18
177,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,27-Apr-17
178,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,26-Apr-20
179,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1525,1525,1525,26-Apr-19
180,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,25-Apr-20
181,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,24-Apr-17
182,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1450,1450,1450,23-Apr-18
183,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,22-Apr-20
184,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,21-Apr-20
185,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,20-Apr-20
186,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1525,1525,1525,20-Apr-19
187,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,19-Apr-20
188,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1525,1525,1525,19-Apr-19
189,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,18-Apr-20
190,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1525,1525,1525,18-Apr-19
191,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,17-Apr-20
192,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1525,1525,1525,16-Apr-19
193,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,15-Apr-20
194,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1525,1525,1525,15-Apr-19
195,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,14-Apr-20
196,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,13-Apr-20
197,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,12-May-17
198,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,11-May-17
